chunk_id,embedding_index
doc00059_chunk008,898
doc00059_chunk009,899
doc00059_chunk010,900
doc00059_chunk011,901
doc00059_chunk012,902
doc00059_chunk013,903
doc00059_chunk014,904
doc00059_chunk015,905
doc00059_chunk016,906
doc00059_chunk017,907
doc00059_chunk018,908
doc00059_chunk019,909
doc00059_chunk020,910
doc00059_chunk021,911
doc00059_chunk022,912
doc00059_chunk023,913
doc00059_chunk024,914
doc00059_chunk025,915
doc00059_chunk026,916
doc00059_chunk027,917
doc00059_chunk028,918
doc00059_chunk029,919
doc00059_chunk030,920
doc00059_chunk031,921
doc00059_chunk032,922
doc00059_chunk033,923
doc00059_chunk034,924
doc00059_chunk035,925
doc00059_chunk036,926
doc00059_chunk037,927
doc00059_chunk038,928
doc00059_chunk039,929
doc00059_chunk040,930
doc00059_chunk041,931
doc00059_chunk042,932
doc00059_chunk043,933
doc00059_chunk044,934
doc00059_chunk045,935
doc00059_chunk046,936
doc00059_chunk047,937
doc00059_chunk048,938
doc00060_chunk000,939
doc00060_chunk001,940
doc00060_chunk002,941
doc00060_chunk003,942
doc00060_chunk004,943
doc00060_chunk005,944
doc00060_chunk006,945
doc00060_chunk007,946
doc00060_chunk008,947
doc00060_chunk009,948
doc00060_chunk010,949
doc00060_chunk011,950
doc00060_chunk012,951
doc00060_chunk013,952
doc00061_chunk000,953
doc00061_chunk001,954
doc00061_chunk002,955
doc00061_chunk003,956
doc00061_chunk004,957
doc00062_chunk000,958
doc00062_chunk001,959
doc00062_chunk002,960
doc00062_chunk003,961
doc00062_chunk004,962
doc00062_chunk005,963
doc00062_chunk006,964
doc00062_chunk007,965
doc00062_chunk008,966
doc00062_chunk009,967
doc00062_chunk010,968
doc00062_chunk011,969
doc00062_chunk012,970
doc00062_chunk013,971
doc00062_chunk014,972
doc00062_chunk015,973
doc00062_chunk016,974
doc00062_chunk017,975
doc00062_chunk018,976
doc00063_chunk000,977
doc00063_chunk001,978
doc00063_chunk002,979
doc00064_chunk000,980
doc00064_chunk001,981
doc00064_chunk002,982
doc00064_chunk003,983
doc00064_chunk004,984
doc00064_chunk005,985
doc00064_chunk006,986
doc00064_chunk007,987
doc00064_chunk008,988
doc00064_chunk009,989
doc00064_chunk010,990
doc00064_chunk011,991
doc00064_chunk012,992
doc00064_chunk013,993
doc00064_chunk014,994
